,Linear Regression,,,,,,SVR-RBF,,,,,,SVR-Linear,,,
,k-Fold,,LOO,,,,k-Fold,,LOO,,,,k-Fold,,LOO,
,mean,std,mean,std,,,mean,std,mean,std,,,mean,std,mean,std
5,60.6,16.47,48.99,40.73,,5,60.19,15.04,48.65,37.38,,5,61.09,15,49.47,37.62
10,52.47,13.42,42.09,33.7,,10,53.09,12.35,43.63,31.52,,10,54.01,14.24,43.31,33.65
20,48.09,12.21,37.5,30.69,,20,52.76,11.76,44.04,30.2,,20,50.04,13.22,40.53,31.34
30,48.73,12.37,37.5,30.37,,30,52.46,12.47,43.64,29.71,,30,48.07,13.25,38.25,31.57
60,45.99,10.53,36.24,27.49,,60,49.82,13.41,40.73,27.93,,60,46.8,14.2,36.33,30.03
90,44.03,9.87,34.87,25.88,,90,49.58,11.81,42.09,26.21,,90,44.38,13.53,34.09,28.74
120,43.05,8.89,34.65,24.69,,120,49.22,11.3,41.73,25.67,,120,45.49,12.76,34.5,29.63
180,41.72,8.71,33.36,24.49,,180,44.51,11.97,35.42,26.56,,180,45.12,12.81,33.89,29.28
240,40.07,8.39,31.93,23.75,,240,44.75,12.02,36.51,25.28,,240,44.75,10.45,33.66,28.75
300,38.61,8.65,30.57,23.6,,300,48.47,10.9,39.92,25.4,,300,43.2,11.7,30.8,28.87
360,37.55,8.29,29.43,23.56,,360,46.97,11.43,37.81,25.96,,360,42.07,11.89,29.71,28.91
